AUTHOR,TITLE,MAP,PUB_YEAR,COMMENT,DEWEY_CALL_NO,CLIENT
"SLAUNWHITE, CARLA",KEMJIMKUJIK NATIONAL PARK : VISITOR PROFILES,NO,2000,,711.3 SLA 2000,
"WALKER, GEORGE D.",KENTVILLE 1980 PARKING STUDY II,NO,1981,,711.3 WAL,"PLANNING - KENTVILLE, NOVA SCOTIA"
"GRANT, JAMES W.",KENTVILLE: A CASE STUDY IN AUTOMATED MAPPING APPLICATIONS USING CAD,NO,1990,,711.3 GRA,"KENTVILLE, NOVA SCOTIA - PLANNING"
"HATT, CRAIG",KINGS COUNTY PARKS AND RECREATION STUDY,NO,1982,,711.3 HAT,PLANNING - KINGS COUNTY
"MCKINNON, PAUL","KINGSTON, KINGS COUNTY, A SOLAR SUBDIVISION",NO,1985,,711.3 MCK,PLANNING
"CAMERON, HEATHER",LAKELAND RETREATS STUDY,NO,1982,,711.3 CAM,PLANNING - QUEENS COUNTY
"LEBLANC, SCOTT M.",LAND DEVELOPMENT SUITABILITY STUDY: ABERCROMBIE/MOUNT WILLIAM,NO,1996,,711.3 LEB,
"BULGER, DANIEL P.",LAND OWNERSHIP STUDY FOR ANNAPOLIS COUNTY,NO,1991,,711.3 BUL,"ANNAPOLIS COUNTY, NOVA SCOTIA - PLANNING"
"MCLAREN, ALICIA",LAND USE AND WATER QUALITY APPLICATIONS OF BMPs: FUNDY MODEL FOREST,NO,1999,,711.3 MCL 1999,FUNDY MODEL FOREST
"MURPHY, ANGELA","LAND USES AND MINERAL RESOURCES: IDENTIFYING MULTIPLE-USE LANDS, CONFLICTS AND OPPORTUNITIES: A CASE STUDY: COUNTRY HARBOUR, GUYSBOROUGH COUNTY, N.S.",NO,1999,,711.3 MUR 1999,INTEGRATED RESOURCE MANAGEMENT - CASE STUDIES
"MACPHERSON, SHEUMAIS",LAWLOR'S POINT (A BACKGROUND STUDY),NO,1991,,711.3 MAC P,"LAWLOR'S POINT, NOVA SCOTIA - PLANNING"
"HOLMES, ADAM",LEVEL OF FIRE SERVICE IN ANNAPOLIS COUNTY,NO,2001,,711.3 HOL 2001,
"LEDREW, COLLEEN",LIGHTHOUSES OF SOUTHEASTERN AUSTRALIA [MAP],YES,2000,,MAP 526.8 LED 2000,
"MCKINNON, JANET",LOCATING A SANITARY LANDFILL SITE: A COMPARATIVE ANALYSIS,NO,1982,,711.3 MCK,SANITARY LANDFILLS - NOVA SCOTIA
"MATTHEWS, ANTHONY",LOCATING POTENTIAL PARK SITES NICTAUX AND AREA,NO,1992,,711.3 MAT,"NICTAUX, NOVA SCOTIA - PLANNING"
"KANE, CHARLENE J.",LUNENBURG HARBOUR WATERSHED POLLUTION AWARENESS STUDY,NO,1997,,711.3 KAN,
"PETHO, JASON",MALTA CIRCA 1942 [MAP],YES,2001,,MAP 526.8 PET 2001,
"GRANT, IAIN A.H.","MANAGEMENT OF THE TOBEATIC WILDERNESS AREA: A REVIEW OF BOUNDARY, BUFFER AND ACCESS ISSUES",NO,1998,,711.3 GRA,TOBEATIC WILDERNESS AREA (NS)
"FAULKNER, A. ANDREW",MAP ANALYSIS PACKAGE: SITE ANALYSIS APPLICATIONS USING THE IBM/AT AT THE NATIONAL PARK LOCAL LEVEL,NO,1987,,711.3 FAU,PLANNING - NOVA SCOTIA
"CHISHOLM, JOHN DANIEL",MARGAREE RIVER DEVELOPMENT STUDY,NO,1990,,711.3 CHI,"MARGAREE RIVER, NOVA SCOTIA - PLANNING"
"KIVELL, ELIZABETH DAWN",MIDDLETON: A RECREATION STUDY,NO,1984,,711.3 KIV,"PLANNING - MIDDLETON, NOVA SCOTIA"
